200,160,#
200,200,#
400,120,#
360,80,#
320,80,#
320,200,#
320,280,#
280,400,#
200,400,#
160,320,#
120,240,#
120,120,#
120,80,#
160,80,#
320,160,#
400,280,#
520,360,#
120,40,#
240,40,#
400,0,#
440,0,#
480,0,#
520,0,#
560,40,#
600,40,#
640,80,#
680,80,#
680,120,#
640,120,#
600,160,#
600,200,#
560,200,#
560,240,#
560,280,#
520,280,#
480,280,#
440,280,#
440,320,#
440,360,#
440,400,#
440,440,#
440,480,#
400,480,#
360,440,#
320,440,#
320,400,#
360,400,#
360,360,#
360,320,#
360,240,#
360,200,#
400,360,#
400,400,#
480,240,#
360,280,#
400,320,#
80,80,.
40,160,.
0,280,.
0,320,.
0,360,.
0,400,.
40,440,.
40,480,.
80,480,.
120,520,.
160,520,.
200,560,.
240,560,.
440,560,.
480,560,.
480,520,.
520,520,.
520,480,.
560,400,.
560,360,.
560,320,.
600,240,.
600,120,.
600,80,.
560,80,.
480,80,.
480,120,.
480,160,.
80,120,s
80,200,s
80,240,s
80,280,s
80,320,s
80,360,s
80,400,s
120,400,s
160,400,s
160,40,s
200,40,s
200,80,s
240,160,s
240,200,s
240,240,s
